MODE: DFS_LIST_ITERATIVE
From Node 1 to Node 20
2278 (x: 27, y: 45, z: 0)
2279 (x: 28, y: 45, z: 0)
2280 (x: 29, y: 45, z: 0)
2281 (x: 30, y: 45, z: 0)
2282 (x: 31, y: 45, z: 0)
2283 (x: 32, y: 45, z: 0)
2284 (x: 33, y: 45, z: 0)
2285 (x: 34, y: 45, z: 0)
2286 (x: 35, y: 45, z: 0)
2287 (x: 36, y: 45, z: 0)
2288 (x: 37, y: 45, z: 0)
2289 (x: 38, y: 45, z: 0)
2290 (x: 39, y: 45, z: 0)
2291 (x: 40, y: 45, z: 0)
2292 (x: 41, y: 45, z: 0)
2293 (x: 42, y: 45, z: 0)
2294 (x: 43, y: 45, z: 0)
2295 (x: 44, y: 45, z: 0)
2296 (x: 45, y: 45, z: 0)
2297 (x: 46, y: 45, z: 0)
2298 (x: 47, y: 45, z: 0)
2299 (x: 48, y: 45, z: 0)
2300 (x: 49, y: 45, z: 0)
2250 (x: 49, y: 44, z: 0)
2249 (x: 48, y: 44, z: 0)
2248 (x: 47, y: 44, z: 0)
2247 (x: 46, y: 44, z: 0)
2246 (x: 45, y: 44, z: 0)
2245 (x: 44, y: 44, z: 0)
2244 (x: 43, y: 44, z: 0)
2243 (x: 42, y: 44, z: 0)
2242 (x: 41, y: 44, z: 0)
2241 (x: 40, y: 44, z: 0)
2240 (x: 39, y: 44, z: 0)
2239 (x: 38, y: 44, z: 0)
2238 (x: 37, y: 44, z: 0)
2237 (x: 36, y: 44, z: 0)
2236 (x: 35, y: 44, z: 0)
2235 (x: 34, y: 44, z: 0)
2234 (x: 33, y: 44, z: 0)
2233 (x: 32, y: 44, z: 0)
2232 (x: 31, y: 44, z: 0)
2231 (x: 30, y: 44, z: 0)
2230 (x: 29, y: 44, z: 0)
2229 (x: 28, y: 44, z: 0)
2228 (x: 27, y: 44, z: 0)
2227 (x: 26, y: 44, z: 0)
2226 (x: 25, y: 44, z: 0)
2225 (x: 24, y: 44, z: 0)
2224 (x: 23, y: 44, z: 0)
2223 (x: 22, y: 44, z: 0)
2222 (x: 21, y: 44, z: 0)
2221 (x: 20, y: 44, z: 0)
2220 (x: 19, y: 44, z: 0)
2219 (x: 18, y: 44, z: 0)
2218 (x: 17, y: 44, z: 0)
2217 (x: 16, y: 44, z: 0)
2216 (x: 15, y: 44, z: 0)
2215 (x: 14, y: 44, z: 0)
2214 (x: 13, y: 44, z: 0)
2213 (x: 12, y: 44, z: 0)
2212 (x: 11, y: 44, z: 0)
2211 (x: 10, y: 44, z: 0)
2210 (x: 9, y: 44, z: 0)
2209 (x: 8, y: 44, z: 0)
2208 (x: 7, y: 44, z: 0)
2207 (x: 6, y: 44, z: 0)
2206 (x: 5, y: 44, z: 0)
2205 (x: 4, y: 44, z: 0)
2204 (x: 3, y: 44, z: 0)
2203 (x: 2, y: 44, z: 0)
2202 (x: 1, y: 44, z: 0)
2152 (x: 1, y: 43, z: 0)
2153 (x: 2, y: 43, z: 0)
2154 (x: 3, y: 43, z: 0)
2155 (x: 4, y: 43, z: 0)
2156 (x: 5, y: 43, z: 0)
2157 (x: 6, y: 43, z: 0)
2158 (x: 7, y: 43, z: 0)
2159 (x: 8, y: 43, z: 0)
2160 (x: 9, y: 43, z: 0)
2161 (x: 10, y: 43, z: 0)
2162 (x: 11, y: 43, z: 0)
2163 (x: 12, y: 43, z: 0)
2164 (x: 13, y: 43, z: 0)
2165 (x: 14, y: 43, z: 0)
2166 (x: 15, y: 43, z: 0)
2167 (x: 16, y: 43, z: 0)
2168 (x: 17, y: 43, z: 0)
2169 (x: 18, y: 43, z: 0)
2170 (x: 19, y: 43, z: 0)
2171 (x: 20, y: 43, z: 0)
2172 (x: 21, y: 43, z: 0)
2173 (x: 22, y: 43, z: 0)
2174 (x: 23, y: 43, z: 0)
2175 (x: 24, y: 43, z: 0)
2176 (x: 25, y: 43, z: 0)
2177 (x: 26, y: 43, z: 0)
2178 (x: 27, y: 43, z: 0)
2179 (x: 28, y: 43, z: 0)
2180 (x: 29, y: 43, z: 0)
2181 (x: 30, y: 43, z: 0)
